32	0.1811559606
33	0.0008337871
34	0.0035203632
35	0.0000002131
36	0.0000014277
37	0.0000000426
38	0.0000080547
39	0.0029199275
40	0.0001767128
41	0.0001781618
42	0.0000358625
43	0.0000040273
44	0.0158181738
45	0.0024452342
46	0.0088951351
47	0.0000012998
48	0.0002532110
49	0.0008239851
50	0.0005277732
51	0.0003638882
52	0.0002781421
53	0.0002350560
54	0.0002168371
55	0.0002075465
56	0.0002160913
57	0.0001975527
58	0.0014762009
59	0.0019188247
60	0.0000098872
61	0.0000353085
62	0.0000094824
63	0.0009917696
65	0.0027643528
66	0.0011390551
67	0.0011043220
68	0.0009489818
69	0.0015133633
70	0.0007513651
71	0.0007766585
72	0.0015358226
73	0.0049378375
74	0.0003889472
75	0.0003197366
76	0.0011594049
77	0.0012867455
78	0.0011805857
79	0.0014050726
80	0.0009068545
81	0.0000631802
82	0.0011763453
83	0.0019088522
84	0.0029246793
85	0.0004086151
86	0.0002593266
87	0.0012341770
88	0.0000758589
89	0.0005228722
90	0.0000462185
91	0.0001376327
93	0.0001372705
94	0.0000001279
95	0.0003043518
96	0.0000001918
97	0.0595132912
98	0.0104585524
99	0.0169936667
100	0.0331466637
101	0.0947225065
102	0.0169904278
103	0.0144366260
104	0.0497371703
105	0.0478408049
106	0.0006472723
107	0.0057558774
108	0.0302531590
109	0.0191287318
110	0.0522727958
111	0.0584754096
112	0.0118301917
113	0.0007088117
114	0.0440115086
115	0.0473114762
116	0.0681244882
117	0.0220002673
118	0.0074333601
119	0.0165223402
120	0.0010883192
121	0.0151054413
122	0.0003947432
123	0.0000035159
124	0.0000143407
125	0.0000034733
126	0.0000000213
